date;place;course;description
10/24 - 03/25;Johannes Gutenberg University Mainz;Content Analysis: Content of Public Communication;"Seminar in the module ""Political Communication"" for the BA Communication Science program"
04/24 - 09/24;Johannes Gutenberg University Mainz;The Algorithm Knows Me (Not): Media Entertainment in Algorithmically Curated Environments;"Seminar in the module ""New Media and Online Communication"" for the BA Communication Science program"
02/24 - 07/24;University of Mannheim;Computational Analysis of Communication;"Seminar in the module ""Data Analytics Methods"" for the MA Data Science program"
10/23 - 03/24;Johannes Gutenberg University Mainz;Core Concepts and Theories of Communication;"Seminar in the module ""Fundamentals of Communication Science"" for the BA Communication Science program"
08/23 - 01/24;University of Mannheim;Computational Analysis of Communication;"Seminar in the module ""Data Analytics Methods"" for the MA Data Science program"
04/23 - 09/23;Johannes Gutenberg University Mainz;What Constitutes Autonomy in Digital Communication?;"Seminar in the module ""New Media and Online Communication"" for the BA Communication Science program"
02/23 - 07/23;University of Mannheim;Computational Analysis of Communication;"Seminar in the module ""Data Analytics Methods"" for the MA Data Science program"
10/22 - 03/23;Johannes Gutenberg University Mainz;Academic Reading, Comprehension and Writing;"Seminar in the module ""Fundamentals of Communication Science"" for the BA Communication Science program"
08/22 - 01/23;University of Mannheim;Computational Analysis of Communication;"Seminar in the module ""Data Analytics Methods"" for the MA Data Science program"
04/22 - 09/22;Johannes Gutenberg University Mainz;Intended and Unintended Side Effects of Media Entertainment;"Seminar in the module ""Media Effects Research"" for the BA Communication Science program"
04/22 - 09/22;Johannes Gutenberg University Mainz;Self-Regulatory Chances and Risks of Permanent Connectedness;"Seminar in the module ""New Media and Online Communication"" for the BA Communication Science program"
02/22 - 07/22;University of Mannheim;Automated Media Content Analysis;"Seminar in the module ""Data Analytics Methods"" for the MA Data Science program"
08/20 - 01/21;University of Mannheim;Introduction to Scientific Working;Student-led exercise for the BA Media and Communcation Studies program
08/19 - 01/20;University of Mannheim;Introduction to Scientific Working;Student-led exercise for the BA Media and Communcation Studies program
08/18 - 01/19;University of Mannheim;Introduction to Scientific Working;Student-led exercise for the BA Media and Communcation Studies program
08/17 - 01/18;University of Mannheim;Introduction to Scientific Working;Student-led exercise for the BA Media and Communcation Studies program